bn,pk,bh,val
16707648,0x94aa4e,0xf239b1,42672953732829107
16707661,0x94aa4e,0x70123e,28029606322826614
16707648,0x94aa4e,0x7cb477,42817239894395638
16707653,0x94aa4e,0xdead8d,29369960485823591
16707653,0x94aa4e,0x9190a5,124581822817461222
16707653,0x94aa4e,0xf166c1,128015652381412236
16707653,0x94aa4e,0x603244,127667663706045541
16707662,0x94aa4e,0x728265,23629795004264234
16707662,0x94aa4e,0x43d2ea,31056832057950584
16707662,0x94aa4e,0x7fd668,32889595811347040
16707662,0x94aa4e,0xcb5cd4,35151976064743496
16707662,0x94aa4e,0x749099,36077413214743496
16707663,0x94aa4e,0x8681dc,40996978196672906
16707661,0x94aa4e,0xb996a5,27251557822826614
16707653,0x94aa4e,0x6bab60,128806722212183492
16707653,0x94aa4e,0x698a4c,126967128994151622
16707661,0x94aa4e,0xb1a383,22501077217330582
16707661,0x94aa4e,0x45fb03,28917005749930608
16707653,0x94aa4e,0x68dd90,128706139272538492
16707663,0x94aa4e,0xe4e5c4,12912000070474787
16707663,0x94aa4e,0x56b9b9,40688932914790404
16707663,0x94aa4e,0x3c3633,40526089507577284
16707663,0x94aa4e,0xa98288,40183112370080529
16707661,0x94aa4e,0x2623a0,32741808249930608
16707675,0x94aa4e,0xf12533,64096732481414034
16707669,0x94aa4e,0x969f11,96971069351382889
16707669,0x94aa4e,0xa7fa70,111291119539032416
16707669,0x94aa4e,0x6b8def,109437790868212958
16707669,0x94aa4e,0x95217a,127387300634130390
16707665,0x94aa4e,0xbf7b4f,22634113205988081
16707665,0x94aa4e,0xce775a,70755190625666721
16707665,0x94aa4e,0xb69256,72304967505621493
16707675,0x94aa4e,0x677f5a,64195198387041234
16707665,0x94aa4e,0xef3b9d,74287724454844233
16707669,0x94aa4e,0x993e20,24711747893412400
16707675,0x94aa4e,0x56d7fd,65248656478408009
16707675,0x94aa4e,0xc5d07e,64434659661699009
16707675,0x94aa4e,0xedd259,65505796036568639
16707665,0x94aa4e,0x5f3def,74557192401816327
16707680,0x94aa4e,0xe1618b,21356557092965241
16707668,0x94aa4e,0x09d0fe,52445390132629643
16707668,0x94aa4e,0x93fa09,12625691277319907
16707680,0x94aa4e,0x59aab3,27746371835622158
16707672,0x94aa4e,0x643528,26992279575541824
16707680,0x94aa4e,0x6c8712,25890380864376169
16707668,0x94aa4e,0xdccc08,49403488800031269
16707680,0x94aa4e,0x969c6e,27053476676113315
16707672,0x94aa4e,0xe029ee,24159087751122971
16707680,0x94aa4e,0xfdd093,28102129835622158
16707672,0x94aa4e,0x76df79,28890581077418673
16707672,0x94aa4e,0x63ca7e,40713433586296180
16707668,0x94aa4e,0xb9176b,52733586151908679
16707668,0x94aa4e,0x7472ae,52669965651908679
16707668,0x94aa4e,0x64958b,51961215808443563
16707682,0x94aa4e,0xe83e1c,77975206018407925
16707668,0x94aa4e,0xa3818f,52670174454232299
16707672,0x94aa4e,0xed61c1,41985721034757180
16707672,0x94aa4e,0xed61c1,41985721034757180
16707682,0x94aa4e,0xe78f95,38176011239815852
16707687,0x94aa4e,0x1204ed,14927633224338752
16707687,0x94aa4e,0xe2635e,23416672718972584
16707687,0x94aa4e,0x9c24d8,26259068530662329
16707685,0x94aa4e,0xdbce10,19784720897839443
16707685,0x94aa4e,0xfe578e,16948549029253865
16707685,0x94aa4e,0x471ecc,20652296489952723
16707682,0x94aa4e,0xe849aa,69200469735265562
16707685,0x94aa4e,0xc1da50,21027399489952723
16707687,0x94aa4e,0x5e408a,29256329917796951
16707682,0x94aa4e,0x9abb1e,68895275935265562
16707682,0x94aa4e,0x51f9c5,70861641277912123
16707687,0x94aa4e,0x6f6482,30005846417796951
16707682,0x94aa4e,0x857803,70669573252651123
16707685,0x94aa4e,0xdd8802,20327653319904443
16707685,0x94aa4e,0x58e458,20217589397839443
16707682,0x94aa4e,0x3dbe85,71609318872775003
16707690,0x94aa4e,0x87c58b,9214962424352170
16707682,0x94aa4e,0x52264e,72384810141293709
16707683,0x94aa4e,0x2155e7,18125022480667211
16707690,0x94aa4e,0x1f4070,13369090048560548
16707683,0x94aa4e,0x722fb5,33979995565075061
16707690,0x94aa4e,0x46deb5,14236125471932834
16707686,0x94aa4e,0xb27235,17461540832012649
16707683,0x94aa4e,0x36338c,34467391265075061
16707686,0x94aa4e,0xe33e17,17334471510815649
16707690,0x94aa4e,0xd2f56f,14355000336128310
16707683,0x94aa4e,0x1d5aa3,47054192094085574
16707683,0x94aa4e,0xe0571e,47195839653669574
16707690,0x94aa4e,0x9aa251,14704757672889310
16707686,0x94aa4e,0xb87bf5,18005876396903649
16707683,0x94aa4e,0x7f1757,52426561856711063
16707686,0x94aa4e,0x232451,18578764250893684
16707686,0x94aa4e,0x232451,18578764250893684
16707686,0x94aa4e,0xa2b38f,18242661729138561
16707690,0x94aa4e,0x10e0cd,14592442672889310
16707683,0x94aa4e,0xcfe01c,58374833856711063
16707692,0x94aa4e,0xfe9aaf,11100794930804595
16707690,0x94aa4e,0xe7ac5d,16855207387804354
16707690,0x94aa4e,0x5bfad9,20558640526178734
16707690,0x94aa4e,0xfac4d4,13232435048560548
16707686,0x94aa4e,0x01821a,18708390945285634
16707692,0x94aa4e,0xbaf911,16001932858168131
16707698,0x94aa4e,0x56af32,10628839136289181
16707692,0x94aa4e,0x7b5435,15730573227449455
16707692,0x94aa4e,0x2aa624,16126808727449455
16707698,0x94aa4e,0x076e35,14994996083049909
16707700,0x94aa4e,0x5e9bcb,90141512183972611
