slot,ip,header_ua,payload_ua,slot_boundary,header_req,payload_req,block_hash,proposer_pubkey
6293821,185.158.17.115,mev-boost/v1.5.0 Prysm/v4.0.2/75338dd83d943ed5e13635cd0578c38a3b2d248b,mev-boost/v1.5.0 Prysm/v4.0.2/75338dd83d943ed5e13635cd0578c38a3b2d248b,2023-04-24 15:24:35.000000,2023-04-24 15:24:35.687909,2023-04-24 15:24:36.152819,0x45b10f6fa6cba3a11aa9d93156dfcd5f75c4459fc75e460afe90158d2e80ac07,0xab61cbc8bb18577a64d032873fea71159f74614ed06a7c2a4b4795b4093a750806325a9978d35b887655267c7c413eaf
6293822,3.22.27.249,mev-boost/v1.5.0 okhttp/4.10.0,mev-boost/v1.5.0 okhttp/4.10.0,2023-04-24 15:24:47.000000,2023-04-24 15:24:47.156702,2023-04-24 15:24:47.429848,0x479babff6fe49cde0df609b94cf56ca9745c3a65692f09297c345f2dd72d4178,0x97126a668a9b68a398f24b9f44f2a87edb585ea0a80eae263227df90d61fb02b4446603e35659413f546f240a61767c0
6293826,54.229.41.59,mev-boost/v1.5.0,mev-boost/v1.5.0,2023-04-24 15:25:35.000000,2023-04-24 15:25:35.282411,2023-04-24 15:25:35.516842,0x4090fe04e275b46e106c2b195aa7065c0679f7b8c6b428058adba66cd33b309b,0xa19060c8cf98ecdbdcebfa5028304646c5d8986cbc046ad0eac107c1c82f397a586248dd4f2e9f0da654c6b8175fd2bb
6293850,89.149.218.12,mev-boost/v1.5.0 Lighthouse/v4.1.0-693886b,mev-boost/v1.5.0 Lighthouse/v4.1.0-693886b,2023-04-24 15:30:23.000000,2023-04-24 15:30:23.308464,2023-04-24 15:30:23.618687,0x1d4ffc87cc2ca26745d0888811583221dcb2d6da0d4351a92c6ca27ddf12537c,0x8e0d86fd0cb749cbf85528cb2e2fd5d0091682c746af202b5405e40e7593cead6b7f78d7ae62326ff0c0a62ee9c3914b
6293853,13.213.5.105,mev-boost/v1.5.0,mev-boost/v1.5.0,2023-04-24 15:30:59.000000,2023-04-24 15:30:59.281124,2023-04-24 15:31:00.375148,0xb282d48b1613bea99a6d736255386be128e9f29edf67240e293d907e625f30c8,0x8af4735248168a28cda3895edc8c4fd2baa89136765ef87a19510a8dc3ff0848b57ae54dd9b17d6ce6e474212bf41727
6293855,35.220.173.162,mev-boost/v1.5.0 Prysm/v4.0.2/75338dd83d943ed5e13635cd0578c38a3b2d248b,mev-boost/v1.5.0 Prysm/v4.0.2/75338dd83d943ed5e13635cd0578c38a3b2d248b,2023-04-24 15:31:23.000000,2023-04-24 15:31:23.307875,2023-04-24 15:31:24.285928,0x097de66c554eede3b98f424ffcf003c8fa71c36e78d11e8fa2ac212167562fa9,0x8cfc7b3d456f0fd067f01da2c727daa45e9743220090fcc5a24364be06350cd03e42f756beded55686461e8bd528f45a
6293859,34.243.117.92,mev-boost/v1.5.0,mev-boost/v1.5.0,2023-04-24 15:32:11.000000,2023-04-24 15:32:11.247458,2023-04-24 15:32:11.571459,0x7b77bc3b5584e698b0725ac947ae0d09c94fc66e14b3cf474170fc219af1696f,0xaf22b4304a6fdaa34df1b362961914fb6f324b689af22f2b106377eec1bdfb62f656cd0bc44b60ff8a1eaa5b0dda07f9
6293860,175.125.253.134,mev-boost/v1.5.0 Prysm/v4.0.3/f4681fde1946a86c5d33c389564241c7ca0e9c2f,mev-boost/v1.5.0 Prysm/v4.0.3/f4681fde1946a86c5d33c389564241c7ca0e9c2f,2023-04-24 15:32:23.000000,2023-04-24 15:32:24.659631,2023-04-24 15:32:25.135536,0x0fae5f763b1d8578e458bbb8d2080f9d5371564471a0f76f5adbc77c14a656c0,0x8e5e54c23f5cfa3993534efc5d86a45d92b93112b423ca28e3f1c1a4e2089f9283bfadecc9c777e5f70a84bd92ad5d11
6293863,18.133.183.169,mev-boost/v1.5.0 okhttp/4.10.0,mev-boost/v1.5.0 okhttp/4.10.0,2023-04-24 15:32:59.000000,2023-04-24 15:32:59.147514,2023-04-24 15:32:59.388737,0xd2b388305c6f9ed86b471422460019c9cd1e0e5760cc4fdafc7df3e059ce1842,0xa2ca0d5fb4cc52c4b8a7c5c7f36c0a9b5aa9335bcb9ce008b0d17fb21f80f09187241f5b0bcd51fe202f65989e72a3b0
6293867,46.165.193.202,mev-boost/v1.5.0,mev-boost/v1.5.0,2023-04-24 15:33:47.000000,2023-04-24 15:33:47.437020,2023-04-24 15:33:47.941331,0x35f2f6fbd54c8e64730d2edbf1b3699dbfaef9ef9905dd8d26028439419f5a4b,0x959c0a9ebd0cdebb56d90463e079c3408adc61963a3250de1e4672659fc38d656e39b80fb712ea68e2b7757949731014
6293871,81.205.202.4,mev-boost/v1.5.0 Lighthouse/v4.1.0-693886b,mev-boost/v1.5.0 Lighthouse/v4.1.0-693886b,2023-04-24 15:34:35.000000,2023-04-24 15:34:35.345687,2023-04-24 15:34:35.719149,0x1f79f15b942fcfb02e56ca90cef86f891670534e413f2ccd5acb1f13a02a6cee,0x95565a0d4a4322acc87010740b91dab1976f330f3534a9981f3681fb7fc7d63daa0216c0d5526b990b13c9b87fea979c
6293874,80.64.208.130,mev-boost/v1.5.0 Prysm/v4.0.2/75338dd83d943ed5e13635cd0578c38a3b2d248b,mev-boost/v1.5.0 Prysm/v4.0.2/75338dd83d943ed5e13635cd0578c38a3b2d248b,2023-04-24 15:35:11.000000,2023-04-24 15:35:11.375619,2023-04-24 15:35:12.277053,0xa613eec8e21147c36830bc13f7316d3a378008d852603929eeb6b9710a065c10,0xad93531b7a853a916c47d98a5f3d41d48ce91cdef3b0bd233e684c2e8dfc401b677d9e3020027b4af44339c3a50504a1
