received_at|slot|value|simulation_duration|total_duration
2023-03-1318:24:48.13406|5992322|72478486388534912|124455|239630
2023-03-1318:24:47.971737|5992322|72478486388534912|117706|220740
2023-03-1318:24:47.609285|5992322|72478486388534912|97922|470063
2023-03-1318:24:47.693437|5992322|72478486388534912|141854|376873
2023-03-1318:24:47.955787|5992322|72478486388534912|116707|357007
2023-03-1318:24:47.920301|5992322|72478486388534912|101411|473635
2023-03-1318:24:47.790905|5992322|72478486388534912|106635|541359
2023-03-1318:26:00.055121|5992328|100432744063889308|270709|643674
2023-03-1318:25:37.179938|5992326|55289899067342052|128189|250186
2023-03-1318:26:00.045364|5992328|100432744063889308|244667|621340
2023-03-1318:26:00.125036|5992328|100432744063889308|285659|570472
2023-03-1318:26:23.816356|5992330|478048201720204475|194908|364863
2023-03-1318:25:48.054|5992327|41214439847732483|132473|513164
2023-03-1318:28:37.594376|5992341|88673107253456255|139123|160264
2023-03-1318:26:35.555203|5992331|72499899397924569|99998|420432
2023-03-1318:27:47.839161|5992337|430071508623422973|140275|274009
2023-03-1318:29:11.009666|5992344|92042308015215123|151535|292322
2023-03-1318:29:36.432614|5992346|104081779202668720|124487|142357
2023-03-1318:29:23.795637|5992345|47179026327319143|86351|223757
2023-03-1318:29:36.349208|5992346|104081779202668720|89137|111887
2023-03-1318:29:36.386778|5992346|104081779202668720|94713|221270
2023-03-1318:29:36.462821|5992346|104081779202668720|96576|117018
2023-03-1318:29:36.348773|5992346|104081779202668720|94959|224453
2023-03-1318:29:47.428245|5992347|179331621284711896|163299|457534
2023-03-1318:31:23.682464|5992355|46390384131688644|140882|258845
2023-03-1318:29:47.477203|5992347|179331621284711896|180852|437718
2023-03-1318:32:11.841955|5992359|88648664645407986|104426|261308
2023-03-1318:31:36.050982|5992356|90143826258391775|113341|132189
2023-03-1317:59:23.54364|5992195|289033773327554704|93314|111661
2023-03-1318:32:24.306309|5992360|24852711799376972|132721|157279
2023-03-1317:59:35.288466|5992196|130480745954833365|92706|112107
2023-03-1318:33:11.628782|5992364|30842511694037984|174645|279539
2023-03-1318:32:35.068995|5992361|50995419086945280|124063|241726
2023-03-1318:32:35.092621|5992361|50995419086945280|84220|198122
2023-03-1318:34:12.397653|5992369|160246054894225277|120806|421582
2023-03-1318:32:59.224004|5992363|68369450543290000|118858|141514
2023-03-1318:34:35.146054|5992371|77075118677613326|104098|248331
2023-03-1318:34:48.53338|5992372|69733825305418267|88170|189316
2023-03-1318:34:48.594804|5992372|69733825305418267|143452|286101
2023-03-1318:34:48.404793|5992372|69733825305418267|149900|249526
2023-03-1318:33:48.506967|5992367|78019415987391084|126892|238908
2023-03-1318:38:11.599601|5992389|57185760646310987|133610|307342
2023-03-1318:36:23.638356|5992380|76989147891729851|294589|739132
2023-03-1318:36:36.678244|5992381|40667865730273364|142267|163625
2023-03-1318:36:36.635284|5992381|40667865730273364|134727|153862
2023-03-1318:37:01.51876|5992383|86841459860755080|107569|225741
2023-03-1318:37:59.540806|5992388|695233445387018727|248444|441043
2023-03-1318:37:59.063555|5992388|695233445387018727|197828|0
2023-03-1318:38:23.126955|5992390|48506042814282284|130749|279370
2023-03-1318:39:48.401598|5992397|425881999694324705|170507|196848
2023-03-1318:37:59.296881|5992388|695233445387018727|192803|310064
2023-03-1318:39:00.086503|5992393|35214633172224502|553180|836420
2023-03-1318:39:22.196225|5992395|65960591151577642|145651|249243
2023-03-1318:38:37.028883|5992391|50056881228856503|156220|275065
2023-03-1318:40:11.391318|5992399|68003497430481277|123524|266532
2023-03-1318:40:24.294869|5992400|65098173737235001|140025|262101
2023-03-1318:41:11.584224|5992404|55626484471232968|123461|157172
2023-03-1318:41:11.665554|5992404|55626484471232968|125440|154554
2023-03-1318:41:11.669877|5992404|55626484471232968|136445|166891
2023-03-1318:41:11.753561|5992404|55626484471232968|106068|129175
2023-03-1318:41:11.529473|5992404|55626484471232968|150182|374738
2023-03-1318:41:58.959117|5992408|119902292556612816|228324|389455
2023-03-1318:41:59.122846|5992408|119902292556612816|183431|522725
2023-03-1318:41:58.922598|5992408|119902292556612816|226416|273830
2023-03-1318:40:35.978576|5992401|44473031740926660|105064|130934
2023-03-1318:41:58.982838|5992408|119902292556612816|199984|240517
2023-03-1318:41:59.078513|5992408|119902292556612816|193244|235826
2023-03-1318:41:23.669479|5992405|184099366316011584|106346|131314
2023-03-1318:41:59.299366|5992408|119902292556612816|215798|248767
2023-03-1318:41:59.63143|5992408|119902292556612816|208243|248276
2023-03-1318:41:59.220382|5992408|119902292556612816|240677|284762
