optimistic_submission|decode_duration|prechecks_duration|simulation_duration|redis_update_duration|total_duration
t|107904|3071|14|9278|120269
f|97031|2916|69582|9611|179141
f|101949|2850|67083|9851|181735
f|128416|2903|75597|9794|216711
f|86536|2872|81871|9427|180708
f|83865|2811|68359|8809|163845
t|123282|2839|13|42378|168513
f|85335|7401|73087|13438|179263
f|84517|2984|88163|105802|281467
f|85525|3039|73267|8238|170070
f|150280|2894|67155|8235|228566
f|96555|2918|69310|13807|182592
f|98569|8740|90942|11029|209281
f|86967|2971|70627|8440|169007
f|84576|9410|71801|9333|175121
t|109050|3944|14|11472|124482
f|84429|3125|71861|9692|169109
t|172047|95804|22|10438|278313
f|86181|186151|97829|105917|476080
f|104223|97558|96948|8952|307683
f|99968|3870|68854|9497|182190
t|111050|2986|16|12614|126667
f|131845|2349|67358|12771|214324
f|101049|2664|90106|13617|207438
f|290482|7279|106601|498613|902976
f|3704|4098|26576|5643|40022
f|84225|2916|21792|6204|115138
f|214007|2407|77191|14338|307945
f|198559|93903|113128|295553|701145
f|87013|2762|27340|6193|123310
f|88743|3141|48185|6401|146472
f|98970|2377|52851|8241|162440
f|98917|4685|57921|12454|173978
f|94502|2341|60141|10637|167623
f|99535|2506|58458|10225|170725
f|93113|2326|60341|9713|165494
f|90596|2307|61145|8485|162535
f|92691|2393|62688|8579|166353
f|94245|2320|60274|9032|165872
f|90217|2386|60088|8282|160975
f|101792|3126|64291|10826|180036
f|92625|2930|63730|9337|168623
f|107455|3441|62333|33505|206735
f|96679|2355|76157|33375|208568
f|104640|95000|101631|503355|804627
f|184152|14557|220527|177115|596352
f|369121|100542|195571|113115|778350
f|200133|96501|106206|21439|424282
f|201967|113814|107397|93833|517013
f|46927|51345|105834|16423|220531
f|279861|97890|186084|312028|875864
t|117601|3957|8|22111|143679
f|115218|2698|26647|6937|151502
t|107698|2843|7|7610|118159
t|967|2790|89|5820|9667
t|596|2372|10|5365|8344
t|780|2617|24|4983|8405
f|2292|2856|10749|6843|22742
t|1585|2817|30|6012|10446
t|1137|2923|27|5067|9156
t|32675|2664|16|5556|40912
t|1540|2778|12|4672|9003
t|1242|2915|20|6333|10511
t|1171|3032|17|5857|10079
t|15118|2635|12|5338|23104
f|2841|3752|17646|5651|29891
t|15055|4899|16|6079|26050
f|7203|5390|17529|6042|36166
t|22627|3106|2|5400|31137
f|58917|2408|24771|7157|93254
t|102972|2755|12|7239|112978
f|8184|3828|26905|14758|53676
f|24981|3541|23453|6765|58742
t|111161|2991|14|6753|120920
t|43777|3098|12|6762|53651
f|116638|3750|29220|5550|155159
f|84765|2984|28294|21607|137651
f|101027|3092|30974|64276|199370
f|86398|2661|30812|7746|127620
f|108503|3124|32641|8783|153052
f|93476|2899|48038|7409|151825
t|145390|2816|9|7190|155406
f|85129|2581|28348|6769|122829
f|102259|2612|30023|8331|143226
t|113740|2582|13|6868|123203
f|108434|3928|31951|9153|153468
t|123185|8092|16|7651|138946
