precheck_duration,simulation_duration,redis_update_duration,submission_duration,optimistic_submission
7146,15821,5595,28564,f
15478,13600,5875,34955,f
13085,18266,5594,36947,f
7547,15930,5474,28952,f
4668,19371,5129,29169,f
13487,18490,6498,38476,f
5908,21728,6266,33903,f
15841,28172,7344,51357,f
4678,28864,6322,39865,f
4275,26268,6792,37335,f
13773,26144,6965,46883,f
4248,25635,6726,36611,f
7293,29500,6161,42956,f
3758,30362,7547,41669,f
12736,25376,7216,45329,f
6909,28679,6050,41640,f
5439,27897,6859,40197,f
5233,29683,6586,41504,f
5785,29242,7169,42197,f
3876,26130,6415,36422,f
7137,27343,6999,41480,f
6645,94108,8855,109609,f
3822,25796,6781,36401,f
5413,26007,6771,38193,f
16888,13115,4069,34072,f
59100,20248,5303,84653,f
59612,20975,8084,88672,f
62441,21510,6149,90101,f
64264,20412,5465,90142,f
55746,18696,5745,80189,f
65643,20434,5807,91886,f
46548,22088,5175,73812,f
48324,21922,5907,76154,f
4318,9917,5150,19386,f
2961,9440,5695,18097,f
17048,9847,4760,31657,f
3453,12059,4681,20194,f
3336,9222,5195,17755,f
6396,12210,5250,23858,f
18955,9410,6177,34543,f
4885,10788,5808,21482,f
31657,14540,5704,51904,f
33646,14486,5342,53475,f
38606,13586,5064,57258,f
34512,17124,5440,57077,f
39527,15562,5117,60208,f
45370,15565,5374,66311,f
35972,14736,8550,59260,f
25569,18165,5725,49460,f
48158,18259,5204,71622,f
65655,20124,5613,91393,f
34683,20757,5504,60945,f
54877,36198,5610,96687,f
72208,21660,5779,99648,f
16241,21437,5097,42777,f
53870,22367,7637,83875,f
17863,22685,6177,46726,f
45701,23311,11134,80147,f
75832,22676,4718,103228,f
4815,24608,6623,36047,f
3113,25525,6343,34983,f
45234,23271,6448,74956,f
37946,23440,7260,68648,f
4629,28535,6135,39300,f
84381,26851,5796,117029,f
70497,22932,5973,99403,f
76319,23013,5946,105280,f
78139,25743,6398,110282,f
4162,36413,6816,47392,f
81788,37198,7970,126958,f
70488,39041,6749,116279,f
4880,36960,6963,48805,f
116453,40369,6365,163188,f
81800,39544,7700,129045,f
102552,38622,7042,148217,f
316774,181684,307414,805873,f
542365,104018,600766,1247151,f
403261,193157,603916,1200336,f
382530,58522,11209,452262,f
329356,47856,12484,389697,f
310019,48544,12883,371447,f
363480,49670,13554,426706,f
285974,56034,62018,404026,f
323203,57670,12850,393725,f
