substring|decode_duration|pg_column_size
0xaa1488|83253|72674
0xacea6a|134951|75545
0xaa1488|84731|73208
0xaa1488|83184|73420
0xb67a51|106468|80159
0xacea6a|134068|80013
0xacea6a|127679|96402
0xb67a51|113521|108850
0xacea6a|145859|109481
0xb67a51|109505|109817
0xb67a51|115111|109978
0xb67a51|103364|115922
0xaa1488|85826|75733
0xaa1488|85970|76628
0xacea6a|117144|83118
0xb67a51|100816|86956
0xacea6a|109395|86908
0xb67a51|86734|66270
0xb67a51|87142|66423
0xacea6a|113074|66374
0xb67a51|86934|71524
0xacea6a|123500|72168
0xb67a51|87810|73423
0xb67a51|91410|75118
0xacea6a|127920|75666
0xb67a51|89824|76198
0xb67a51|89834|76533
0xacea6a|122876|76503
0xb67a51|87365|77782
0xacea6a|121893|78263
0xb67a51|93297|78298
0xb67a51|90641|79393
0xacea6a|112984|79091
0xb67a51|89533|80901
0xb67a51|93634|81207
0xacea6a|121071|81043
0xb67a51|104951|96450
0xb67a51|108239|108261
0xaa1488|98429|94937
0xaa1488|83442|95488
0xacea6a|161748|110266
0xaa1488|86916|96113
0xb67a51|110836|114763
0xaa1488|86388|99725
0xaa1488|88101|100029
0xaa1488|84475|100571
0xacea6a|163693|115843
0xaa1488|88704|101143
0xb67a51|112732|117413
0xaa1488|97443|102068
0xb67a51|118029|117552
0xacea6a|155947|117469
0xaa1488|90528|100843
0xacea6a|124624|57952
0xb67a51|88771|59142
0xacea6a|118600|59380
0xb67a51|85566|60180
0xb67a51|92026|62457
0xacea6a|120012|61957
0xb67a51|88375|62944
0xb67a51|92490|63473
0xacea6a|122034|63889
0xaa1488|85337|102274
0xb67a51|119511|117921
0xacea6a|18122|25940
0xb67a51|26563|25969
0xacea6a|7473|25940
0xb67a51|10967|26653
0xb67a51|13097|27076
0xacea6a|12820|27043
0xb67a51|81203|30608
0xacea6a|105843|30404
0xb67a51|82460|31162
0xacea6a|107914|33758
0xb67a51|95301|34091
0xb67a51|90930|57975
0xaa1488|135486|57168
0xacea6a|189|8675
0xb67a51|7048|27369
0xaa1488|8405|28498
0xb67a51|10778|28331
0xacea6a|9573|26068
0xb67a51|94794|68449
0xacea6a|115523|69208
0xb67a51|92634|69171
0xb67a51|97378|69340
0xacea6a|123632|69490
0xb67a51|96076|69940
0xb67a51|102437|74176
0xacea6a|117264|74061
0xb67a51|94854|75891
0xaa1488|81992|56953
0xacea6a|130578|76255
0xacea6a|338489|300639
0xb67a51|104546|381657
0xb67a51|164548|383480
0xb67a51|164218|385058
0xaa1488|345311|385268
0xaa1488|118007|385821
0xacea6a|302436|386623
0xb67a51|306882|386450
0xacea6a|131054|77340
0xaa1488|121306|58756
0xaa1488|134165|58966
0xacea6a|124|4063
0xb67a51|234|4600
0xacea6a|227|4760
0xb67a51|204|4991
0xb67a51|215|5152
0xacea6a|262|5159
0xb67a51|272|5516
0xacea6a|274|5669
0xb67a51|12571|8241
0xacea6a|290|7604
0xb67a51|12431|9546
0xb67a51|11368|10321
0xb67a51|8119|14507
0xacea6a|1727|13410
0xb67a51|11644|15230
0xacea6a|1847|14275
0xb67a51|9468|16096
0xb67a51|12846|19489
0xacea6a|12168|16301
0xb67a51|11472|20557
0xacea6a|8668|18983
0xb67a51|10805|20973
0xacea6a|2874|20274
0xb67a51|9544|21268
0xb67a51|8389|22372
0xacea6a|5172|21958
0xb67a51|8212|24089
0xacea6a|4450|22935
0xb67a51|8494|24615
0xacea6a|7581|25890
0xaa1488|8185|31301
0xb67a51|11137|31569
0xaa1488|9098|31768
0xaa1488|7671|31983
0xacea6a|11739|30544
0xaa1488|9174|32453
0xb67a51|10333|32250
0xaa1488|9365|32593
0xb67a51|9722|32562
0xaa1488|7871|32751
0xacea6a|12297|31087
0xaa1488|9235|32952
0xaa1488|9079|33142
0xb67a51|8960|32950
0xacea6a|8451|17141
0xb67a51|15400|18058
0xacea6a|11755|18280
0xb67a51|11857|18704
0xb67a51|10548|19670
0xacea6a|7239|19152
0xb67a51|7822|19928
0xacea6a|7425|19880
0xb67a51|7043|23843
0xacea6a|10303|23774
0xb67a51|7459|24229
0xb67a51|11259|24584
0xacea6a|5287|24144
0xb67a51|83365|37920
0xacea6a|110383|38134
0xb67a51|85374|38972
0xacea6a|108023|38932
0xb67a51|92225|40389
0xacea6a|111656|40351
0xb67a51|100731|40665
