received_at|value
2023-02-0700:15:11.819905|26342383011162016
2023-02-0700:19:47.654315|7375932510970240
2023-02-0700:19:47.757868|7375932510970240
2023-02-0700:20:11.276623|2603574001781001
2023-02-0700:20:11.40441|2603574001781001
2023-02-0703:22:11.549343|21160738087471352
2023-02-0701:29:34.887681|52646268677373268
2023-02-0701:29:34.868741|52646268677373268
2023-02-0703:22:12.001119|21160738087471352
2023-02-0705:45:24.107671|8969717774461837
2023-02-0702:27:12.041172|6447035014893459
2023-02-0702:27:12.380071|6447035014893459
2023-02-0702:27:47.029415|6649541420577386
2023-02-0702:27:47.052301|6649541420577386
2023-02-0702:42:23.253838|8394595017396494
2023-02-0702:42:23.235395|8394595017396494
2023-02-0704:20:35.28388|8854525047532519
2023-02-0704:20:35.477213|8854525047532519
2023-02-0704:28:47.874446|9844978145397003
2023-02-0704:44:36.039615|18860592647466908
2023-02-0704:55:23.578242|25898180766646441
2023-02-0705:45:58.326628|6355271522727505
2023-02-0705:45:58.52936|6355271522727505
2023-02-0705:52:35.707274|4279792527672333
2023-02-0705:52:35.754794|4279792527672333
2023-02-0707:12:11.760412|30668630000567463
2023-02-0706:19:24.402687|30141625626852638
2023-02-0706:19:24.340062|30141625626852638
2023-02-0707:43:47.76629|8242806293364359
2023-02-0706:59:47.874528|15061925905379052
2023-02-0709:14:23.319124|22507169639165220
2023-02-0708:14:36.443741|17289119703586674
2023-02-0708:28:35.338784|27994713173018115
2023-02-0711:16:59.723126|21339674673731980
2023-02-0709:45:24.342441|21570300008339982
2023-02-0710:00:35.120789|29074284149871606
2023-02-0710:01:48.008553|24722036504660335
2023-02-0710:01:48.198787|24722036504660335
2023-02-0711:16:59.934363|21339674673731980
2023-02-0712:26:47.85972|123202317034488547
2023-02-0702:04:11.418047|11727175519269291
2023-02-0702:04:11.480185|11727175519269291
2023-02-0712:26:48.098153|123202317034488547
2023-02-0713:34:59.597075|12914117600919465
2023-02-0713:43:35.570204|16934022135827202
2023-02-0712:48:23.7161|12071142307949123
2023-02-0712:48:23.754409|12071142307949123
2023-02-0713:51:59.937153|47312580956877507
2023-02-0713:52:00.248679|47312580956877507
2023-02-0715:45:00.823693|20446912450913195
2023-02-0713:09:23.677731|25549091200681594
2023-02-0713:09:23.655911|25549091200681594
2023-02-0714:40:11.823177|35314281122407249
2023-02-0716:00:11.69713|43116570952698064
2023-02-0719:46:47.683032|27699796211929082
2023-02-0717:00:47.403238|27527112693838699
2023-02-0717:14:11.90377|29974905734876077
2023-02-0720:17:00.108887|19966606714367801
2023-02-0722:19:48.262031|14953366283257704
2023-02-0711:57:11.376869|48605702174301708
2023-02-0722:32:59.827232|5155731796206154
2023-02-0722:33:35.862462|12769428680599858
2023-02-0722:33:35.901041|12769428680599858
2023-02-0804:14:59.607101|33140765389983145
2023-02-0804:14:59.706679|33140765389983145
2023-02-0804:22:59.956565|10720751785300942
2023-02-0803:43:35.951875|8145327816951127
2023-02-0804:25:59.599777|20096781734775566
2023-02-0805:27:11.822804|3699292915578676
2023-02-0805:27:11.99723|3699292915578676
2023-02-0806:57:48.717884|10929859805186740
2023-02-0807:27:47.37048|303375482303021794
2023-02-0808:15:11.925219|63642833951562964
2023-02-0808:15:12.092077|63642833951562964
2023-02-0807:36:47.85756|10866520950777743
2023-02-0807:38:23.277355|67711676473347933
2023-02-0807:38:24.156335|67711676473347933
2023-02-0809:08:59.85893|85319846161508215
2023-02-0810:06:47.891789|19940205280027132
2023-02-0810:29:21.379589|18651890102950260
2023-02-0811:57:11.805323|67194552775265743
2023-02-0813:19:59.489066|15742751979677948
2023-02-0813:19:59.6281|15742751979677948
2023-02-0901:23:00.049526|13797938220485872
2023-02-0803:45:11.801793|8564128740209171
2023-02-0803:45:11.983853|8564128740209171
2023-02-0817:23:47.704299|9581633282391367
2023-02-0817:39:23.726809|40652546789952009
2023-02-0819:26:11.562676|101497466792707931
2023-02-0819:26:11.728619|101497466792707931
2023-02-0823:18:33.882381|3271891301439523
2023-02-0823:33:59.945244|11670129620107308
2023-02-0823:44:47.480233|24063192349661986
2023-02-0823:59:23.597881|3743824845053050
2023-02-0901:23:00.201362|13797938220485872
2023-02-0903:36:11.786326|12966813048760735
2023-02-0901:46:59.365913|66607245711643953
2023-02-0814:35:41.524043|28805559610859723
2023-02-0814:57:54.804134|65845978610076395
2023-02-0814:57:55.132215|65845978610076395
2023-02-0903:36:12.00908|12966813048760735
2023-02-0907:17:35.111871|13898137036118189
2023-02-0907:17:35.144689|13898137036118189
2023-02-0909:15:59.998628|9614918727749889
2023-02-0908:59:47.857834|14897090188543851
2023-02-0909:16:00.02199|9614918727749889
2023-02-0910:39:35.776166|6495953559644698
2023-02-0910:39:36.127488|6495953559644698
2023-02-0912:50:24.502815|16652037485706616
2023-02-0911:36:47.397647|14721063216807039
2023-02-0911:36:47.945848|14721063216807039
2023-02-0913:04:23.46601|17438499381373463
2023-02-0913:04:23.712175|17438499381373463
2023-02-0913:47:23.47482|22023117452371771
2023-02-0913:47:23.997283|22023117452371771
2023-02-0914:15:23.788534|98995947106859007
2023-02-0916:20:26.034772|26334635427919139
2023-02-0915:20:47.339674|56842573767799332
2023-02-0915:20:48.134775|56842573767799332
2023-02-0916:26:47.898277|18533897765056718
2023-02-0917:35:11.838642|31927456766075516
2023-02-0916:57:22.35404|9346057622452605
2023-02-0916:57:22.838653|9346057622452605
2023-02-0917:35:12.062314|31927456766075516
2023-02-0921:05:47.699547|7089539246183851
2023-02-0921:05:47.881862|7089539246183851
2023-02-0921:43:23.371641|16626992390748618
2023-02-0922:02:47.374815|2616786849038345
2023-02-0922:21:24.725436|6991223848198713
2023-02-0922:21:24.224762|6991223848198713
2023-02-0922:02:47.369475|2616786849038345
2023-02-0923:45:48.225469|22489195378789561
2023-02-0923:45:48.554448|22489195378789561
2023-02-1002:00:11.903884|17163306982874694
2023-02-0923:10:59.991079|16438448652796914
2023-02-0923:11:00.081131|16438448652796914
2023-02-1002:00:12.013582|17163306982874694
2023-02-1003:33:59.961723|22027135282234760
2023-02-1002:27:59.715727|3440432255022228
2023-02-1003:34:00.467297|22027135282234760
2023-02-1007:22:24.530546|50027882850850436
2023-02-1004:47:36.020351|17599466172804129
2023-02-1009:15:35.817779|47001563896329450
2023-02-1007:54:10.646181|12753733036670070
2023-02-1008:02:58.775182|28567393894241390
2023-02-1008:02:59.096329|28567393894241390
2023-02-1008:11:52.46817|26318455925761937
2023-02-1009:31:59.649227|8122475905484982
2023-02-1010:37:35.86026|21143980880820463
2023-02-1012:18:47.945705|11744616402501826
2023-02-1012:53:11.700457|39296569609053680
2023-02-1018:26:48.217725|11084825974452536
2023-02-1013:15:47.751298|43985274092740353
2023-02-1020:47:23.073645|14308446126510989
2023-02-1020:53:23.503807|14851826499288848
2023-02-1103:47:35.071448|13437482609278226
2023-02-1101:32:23.954856|27300632510172943
2023-02-1103:52:22.830567|28665734305165387
2023-02-1104:29:46.999966|11917237414334738
2023-02-1103:53:11.882998|39127699093040191
2023-02-1104:02:35.640765|17544854467116821
2023-02-1104:32:47.187705|15175248541476021
2023-02-1104:07:35.918367|10516334598445553
2023-02-1104:08:11.570556|7154606137756753
2023-02-1104:12:59.188835|10497541044845264
2023-02-1104:15:35.528528|19123646650614091
2023-02-1104:20:59.402573|11767682017236022
2023-02-1104:21:59.245739|39658896030166285
2023-02-1104:24:12.018837|10378106212268856
2023-02-1104:45:59.27563|7057105088371171
2023-02-1104:46:23.769667|28375168799512192
2023-02-1104:24:35.385266|17240693888733971
2023-02-1104:27:47.089732|11560143211970204
2023-02-1104:48:23.208906|22300730597320747
2023-02-1105:14:47.231503|25789765996306952
2023-02-1105:32:47.371547|13762243939627504
2023-02-1104:57:11.400386|8499412706689512
2023-02-1104:58:46.862941|21887547153565964
2023-02-1105:43:23.16401|47297337776425785
2023-02-1105:06:23.815602|18149650214680110
2023-02-1105:07:58.957522|15391382921540574
2023-02-1106:02:35.489216|24161595952230951
2023-02-1106:05:59.314398|40014029562338379
2023-02-1105:45:58.880157|27287604099825152
2023-02-1105:48:23.621217|11596227162531295
2023-02-1107:00:10.555033|21923520009519705
2023-02-1107:07:35.816391|26204249104315655
2023-02-1106:38:11.420838|20124977171885221
2023-02-1106:39:34.972938|51656558629367342
2023-02-1107:08:59.940305|11635324405472122
2023-02-1106:40:35.026881|17094439289862760
2023-02-1107:09:35.492909|17514160049650996
2023-02-1107:10:35.075545|27037370709689001
2023-02-1107:11:58.791766|10443143039987982
2023-02-1107:12:22.793936|24733973949702743
2023-02-1106:48:22.904332|29529311494258859
2023-02-1107:16:59.663867|17598773481039700
2023-02-1106:52:59.248563|13883921179942404
2023-02-1107:20:10.574989|25834103375388603
2023-02-1107:35:11.556792|44973912044252760
2023-02-1107:37:35.708354|46157443176755706
2023-02-1107:25:59.95834|11352729544455378
2023-02-1107:44:10.728806|12893980894105930
2023-02-1107:44:23.153454|11607018292074600
2023-02-1107:28:11.975939|19528658733218683
2023-02-1107:45:35.855144|21499346238324334
2023-02-1107:52:47.367689|23900212102527552
2023-02-1108:19:47.899658|25202394661818570
2023-02-1107:53:10.416105|14138477836109120
2023-02-1107:58:47.133565|50430293456421805
2023-02-1107:59:58.469643|32802086498111480
2023-02-1108:31:23.245327|12461011462690487
2023-02-1108:34:10.988379|109255316159817762
2023-02-1108:37:23.115699|8951974091160646
2023-02-1108:39:34.899907|30236761313402845
2023-02-1016:41:49.209406|26130719312814734
2023-02-1108:49:01.054155|25122050681553872
2023-02-1016:44:11.662526|66366661969817832
2023-02-1108:50:23.260305|14009371053335304
2023-02-1108:51:59.577131|14145545623025649
2023-02-1017:04:59.06674|52545182923941562
2023-02-1108:59:59.019019|13475771311329234
2023-02-1109:03:46.824224|8108105186777625
2023-02-1109:06:35.179988|15072398534739510
2023-02-1017:20:11.33122|168064053218160110
2023-02-1109:13:58.867008|38527212943099627
2023-02-1109:15:24.042508|10988465301695460
2023-02-1109:20:22.911487|30876199124549954
2023-02-1109:29:58.727739|22605969529311289
2023-02-1109:31:00.048134|19000549062805515
2023-02-1109:37:11.454883|42538525009086102
2023-02-1110:08:59.441413|9663320371046827
2023-02-1109:40:59.432032|40914121761281606
2023-02-1109:42:22.862751|19672855021254677
2023-02-1110:17:58.709151|12599546473468569
2023-02-1109:53:09.825686|13459880958613526
2023-02-1111:25:59.118964|45188058818593534
2023-02-1110:35:47.568011|70270820740798194
2023-02-1110:38:46.770195|18370775402071078
2023-02-1110:45:01.57405|25666564655255670
2023-02-1111:48:59.399586|50695304730045470
2023-02-1111:28:22.859385|40553670725136531
2023-02-1111:54:59.101421|13018359717155992
2023-02-1111:29:34.601124|23986815676366628
2023-02-1111:36:47.504318|50802410606140478
2023-02-1111:37:11.582937|81106847141018240
2023-02-1112:03:11.668686|61443114944692999
2023-02-1112:19:59.296949|13301301019650738
2023-02-1112:03:34.86998|13724356236495950
2023-02-1112:07:10.685216|18847844887084047
2023-02-1112:22:47.04431|33343225393204429
2023-02-1112:25:34.97015|16400058792302724
2023-02-1112:08:47.364879|29215123857180039
2023-02-1112:28:59.170136|16933639980635428
2023-02-1112:12:35.735249|12494035536845021
2023-02-1112:29:46.573353|33634067561079135
2023-02-1112:32:34.811949|39919387446109751
2023-02-1112:14:58.89744|45012881644042282
2023-02-1112:35:34.642541|27128065250823755
