inserted_at,received_at
00:50:51.565988,00:50:51.50543
00:50:55.410323,00:50:55.197386
00:50:57.941419,00:50:57.773389
00:50:53.745775,00:50:53.675834
00:50:54.494425,00:50:54.394998
00:51:00.525433,00:51:00.326306
00:50:56.389599,00:50:56.280766
00:50:57.110609,00:50:57.046481
00:50:58.799154,00:50:58.604774
00:50:59.657463,00:50:59.467151
00:51:49.101795,00:51:49.084487
00:51:49.746783,00:51:49.730028
00:51:50.387028,00:51:50.369431
00:51:51.026961,00:51:51.010414
00:51:51.667385,00:51:51.647809
00:51:52.314891,00:51:52.292177
00:51:52.961126,00:51:52.938582
00:51:53.611648,00:51:53.586502
00:51:54.25877,00:51:54.2359
00:51:54.910169,00:51:54.883552
00:51:55.568208,00:51:55.538978
00:51:56.2498,00:51:56.211757
00:51:56.91006,00:51:56.879669
00:51:57.578318,00:51:57.544378
00:51:58.247579,00:51:58.213374
00:51:58.911725,00:51:58.880661
00:51:59.577536,00:51:59.543104
00:52:00.244954,00:52:00.210147
00:52:01.176474,00:52:01.157469
00:52:01.821914,00:52:01.801807
00:52:02.469267,00:52:02.449175
00:52:03.121213,00:52:03.09665
00:52:09.418467,00:52:09.198769
00:52:03.775728,00:52:03.750885
00:52:04.438922,00:52:04.408472
00:52:05.105759,00:52:05.07
00:52:05.783425,00:52:05.743539
00:52:06.468915,00:52:06.424814
00:52:07.149509,00:52:07.107982
00:52:07.83312,00:52:07.788281
00:52:08.550207,00:52:08.491386
00:52:11.259266,00:52:11.003488
00:52:12.17757,00:52:11.93129
00:52:10.333216,00:52:10.088919
00:56:53.035388,00:56:52.913621
00:56:53.808183,00:56:53.688167
00:56:49.094359,00:56:48.950356
00:56:49.851067,00:56:49.733786
00:56:50.688497,00:56:50.494285
00:56:51.469291,00:56:51.331402
00:56:52.261155,00:56:52.113323
00:56:56.104529,00:56:56.010607
00:56:56.86139,00:56:56.760105
00:56:57.634198,00:56:57.519302
00:56:54.612911,00:56:54.460258
00:56:55.359142,00:56:55.26575
00:56:58.388776,00:56:58.291053
00:56:59.149905,00:56:59.044414
00:56:59.906125,00:56:59.801822
