decode_duration|pg_column_size
126188|264278
188829|265172
142226|264642
75423|265329
103398|235867
89890|236554
131915|236557
200861|24614
125507|24653
124722|25892
186580|25647
153872|28581
119482|222498
103502|222442
87382|224897
120290|224705
70603|225397
184408|235626
8175|236075
115502|42762
155996|42164
80387|43261
185187|28565
123171|30187
97646|30891
242450|30862
98328|31443
100086|31732
203493|31423
98937|32703
150865|33333
100950|33527
101860|33680
143859|34421
104010|35171
114409|35660
152381|35628
90011|35969
152788|36098
106947|39930
91614|40682
157170|41631
110420|42085
82036|42618
76934|42999
109238|43840
87392|45015
92031|45048
97118|45291
83373|46057
81715|46259
114344|46013
106857|43026
80008|43385
80465|43640
77598|44062
155994|43445
72927|44261
80705|44415
110649|44376
80009|44604
83056|44751
160195|44371
93476|28372
141568|27024
78912|28698
117512|28525
79695|28897
142450|28564
101657|28701
80565|29066
81174|29554
84433|46453
81494|46873
160482|46130
80918|47071
32708|7239
22861|8172
36317|8385
20432|8888
20276|9998
32710|9983
38151|9983
38868|10853
40536|14026
22348|14061
10672|14670
45381|17024
27363|18223
49731|18721
30468|19135
12684|19627
49048|19662
51874|20635
110458|20894
93353|21437
129042|21442
92329|21773
129344|21607
93113|22403
129976|22338
116655|26330
80006|28549
147182|30722
79857|31348
220555|78633
110855|79304
221360|79261
176285|79905
223028|79856
182444|80215
159619|81056
79406|30173
121591|29984
81497|30436
145276|30281
77321|30588
122539|30399
80647|30734
79641|31171
121383|31017
140041|82164
225058|81015
184572|81831
226836|81762
167742|82021
179494|82137
84221|88150
65296|88282
171098|87753
85120|88540
137433|88472
136080|82958
181252|82909
132996|83100
134167|83282
179639|83396
126256|83439
125800|84695
181453|84636
101980|85166
93533|85622
180215|85440
126974|86184
124241|86488
91483|86668
170155|86459
83018|87434
145014|87213
81777|87759
90953|87889
100339|87953
83983|88706
125896|89344
83378|89534
171983|89304
94524|89932
84748|90296
178004|31788
23320|28527
12164|14546
13695|14957
26787|17830
12201|17957
174811|32654
10584|18989
10860|21958
224425|36437
10091|23742
29067|24988
206416|39447
28732|25414
10259|25957
192945|40069
9995|26109
9066|27723
144150|42179
197024|42715
34316|28676
139244|43128
11363|28816
33638|30098
212285|44545
10386|30663
10023|31879
144420|46146
9390|31939
407|21950
678|22149
10313|32244
150349|46716
528|22293
1086|24442
11002|34555
493|24570
37494|34676
249820|48981
883|25344
10403|35406
853|25620
927|25752
827|26482
38062|28105
486|13601
54017|28459
11909|17119
161502|66251
87344|66560
93338|67033
202248|81216
94271|67163
210013|81704
134017|29434
10936|15155
13368|16378
128116|30016
10622|16529
119319|31222
137699|59806
132099|32398
88853|60936
104479|61753
208809|76002
93373|63703
95244|66106
205681|80256
198935|80641
82753|63277
84604|63404
83144|63591
86918|63747
105507|190042
133445|72112
81451|62405
108307|72797
181046|88148
88545|74270
90251|74407
81272|64281
128250|25309
100980|27597
150158|54109
136799|24475
97066|25349
84285|26045
105267|187890
16989|189069
105402|189461
101842|189753
101775|191547
102701|422437
101820|243433
104363|54910
124077|56152
226065|54867
99073|59143
87989|60872
160343|140506
98897|144160
168637|144627
188263|144238
138409|145045
101730|145744
216913|145690
107716|146492
97368|146828
221000|146779
181718|148219
102085|148508
