read_header_duration|read_duration|decode_duration|cache_read_duration|randao_lock_2_duration|simulation_duration|redis_update_duration|submission_duration|optimistic_submission
54|0|81223|372|2190|13|6486|90313|t
56|0|81110|357|3419|29804|8812|123523|f
89|0|81312|433|2344|40430|6964|131509|f
60|0|84737|388|2359|14|9202|96734|t
79|0|82446|503|2449|35059|8378|128869|f
96|0|94313|422|2265|13|7745|104790|t
69|0|81669|299|3062|35217|14916|135184|f
52|0|83018|440|3217|31128|7210|125049|f
87|0|83471|488|2910|30401|9069|126370|f
130|0|72819|536|3354|30960|9071|116769|f
71|0|82668|416|2045|17|8098|93269|t
72|0|82497|407|2543|30914|19571|135954|f
41|0|82167|431|2118|14|8061|92811|t
55|0|82863|356|2632|30117|7339|123328|f
67|0|83048|368|2689|75788|7516|169433|f
47|0|83485|540|2678|45830|7542|140098|f
53|0|82695|381|2639|41109|7859|134705|f
60|0|56463|546|2881|19|6396|66331|t
59|0|13464|574|2869|11|6713|23659|t
60|0|69331|517|2429|14|5612|77951|t
65907|0|66333|627|4027|11|99937|170959|t
52|0|139914|340|2301|26|6903|149505|t
60|0|8819|1049|92488|9|6409|108818|t
54|0|10312|471|4257|38|8641|23753|t
37299|0|80825|459|2707|25|6876|90956|t
37625|0|88275|512|2333|17|5623|96795|t
86|0|31992|497|2930|21|5978|41443|t
37475|0|112391|347|3275|8|6113|122160|t
94|0|9973|448|3163|18|5932|19561|t
31087|0|77385|441|2916|25|6046|86833|t
45|0|87275|381|2597|8|6169|96451|t
61|0|11726|338|2957|21|6533|21597|t
21135|0|53120|402|3261|24|5834|62666|t
54|0|10330|426|2786|24|6768|20357|t
68|0|48550|436|2428|14|6887|58334|t
56|0|51885|451|2618|32|6068|61076|t
44|0|11315|396|2232|6|6925|20893|t
74|0|80041|518|2408|15|6252|89273|t
78|0|10258|375|2697|27|7224|20602|t
61|0|49770|444|2622|17|6146|59028|t
58|0|29838|442|2597|16|7375|40292|t
80|0|57005|443|4196|13|9097|70776|t
9527|0|22514|459|4477|19|7614|35133|t
74|0|44603|487|2764|18|6044|53942|t
76|0|95636|389|2651|16|9309|108022|t
42|0|79795|315|2463|17|6563|89184|t
75|0|150497|477|2400|13|7738|161151|t
57|0|151203|444|2430|8|8252|162356|t
77|0|93999|448|2529|9|7830|104842|t
53|0|139005|441|2607|15|7666|149758|t
54|0|95191|513|2960|21|9736|108443|t
52|0|151749|636|1972|8|7971|162361|t
79|0|122074|419|2586|27|7106|132241|t
47|0|149024|442|2474|14|7532|159504|t
48|0|105423|386|3332|17|8559|117745|t
70|0|82382|427|2303|39127|8265|132530|f
84|0|143998|1783|2750|13|7814|156380|t
61|0|82001|384|3097|38757|8165|132440|f
50|0|90731|541|2393|26|8470|102207|t
58|0|144086|486|2671|12|9210|156492|t
43|0|83688|448|2487|38539|8244|133433|f
136|0|81913|521|3073|37976|8013|131525|f
85|0|97988|388|3755|32|9004|111197|t
77|0|83736|426|6460|42806|8123|141570|f
49|0|140427|400|2277|13|7304|150447|t
52|0|81949|360|2836|38889|7828|131884|f
75|0|82147|454|2741|38733|8381|132480|f
70|0|79680|385|2927|31|8365|91431|t
86|0|83634|418|2256|40184|8173|134697|f
44|0|142221|469|3042|17|8084|153863|t
42|0|83281|522|3721|51289|9393|148238|f
62|0|107583|429|2704|9|8721|119470|t
51|0|144824|575|35528|23|8931|189904|t
72|0|81977|465|2423|45394|8026|138312|f
61|0|83271|494|2460|46138|8939|141326|f
56|0|81237|388|2770|19|8290|92723|t
46|0|146090|521|2357|15|7851|156856|t
81|0|84347|381|2531|44748|7658|139692|f
57|0|83691|418|2446|57982|8240|152796|f
70|0|28077|252|2924|8|22095|53405|t
63|0|27935|415|2294|13|7519|38200|t
6844|0|21229|393|2620|16|5963|30247|t
74|0|26515|350|2489|16|6446|35842|t
51|0|26621|595|3586|24|7222|38074|t
55|0|11197|338|2892|22|6207|20679|t
57|0|30015|361|2971|11|6428|39810|t
59|0|22462|486|2548|9|6778|32305|t
13372|0|26666|544|2656|20|6462|36371|t
19016|0|28410|433|4865|16|5641|39389|t
41|0|14420|502|2775|15|6128|23870|t
68|0|16592|493|2675|21|5467|25269|t
67|0|9929|354|2898|10|5515|18727|t
57|0|15596|383|2749|24|6399|25176|t
64|0|10084|429|2503|19|5975|19032|t
68|0|16547|362|2267|13|5119|24332|t
84|0|19375|479|2539|10|5670|28092|t
69|0|10424|480|4578|12|7781|23300|t
63|0|21216|408|4999|18|7663|34325|t
58|0|20260|500|2459|21|5540|28805|t
62|0|9638|482|2541|19|6794|19502|t
48|0|28891|466|2305|14|5548|37246|t
115|0|13778|396|2712|26|22705|39638|t
45|0|82696|405|3158|46158|7521|139979|f
43|0|135245|396|2341|15|8261|146276|t
56|0|83394|357|2327|43159|8982|138241|f
58|0|82692|482|2271|43143|10502|139113|f
58|0|82804|421|4299|47169|9670|144390|f
49|0|82549|428|2509|51528|8579|145617|f
40|0|101346|384|2446|27|7887|112109|t
67|0|32349|396|2488|15|5574|40840|t
60|0|33178|368|2724|11|6310|42611|t
43|0|17516|399|2718|19|6910|27585|t
50|0|36966|348|2361|13|7332|47044|t
69|0|37872|356|2792|5|7075|48126|t
57|0|12760|373|2788|27|6633|22606|t
62|0|38276|411|2257|10|7323|48315|t
75|0|38500|375|2505|15|6898|48316|t
101|0|18540|420|2614|11|7531|29142|t
54|0|117492|388|2754|27|6660|127342|t
83|0|124634|410|2355|25|7761|135204|t
15533|0|104052|400|2409|16|7663|114562|t
43|0|127293|411|2534|14|7756|138030|t
44|0|79638|393|2543|15|11666|94277|t
67|0|79697|353|2866|5|8685|91638|t
116|0|81047|461|2297|41939|8162|133928|f
55|0|80506|425|2447|40761|6829|130988|f
46|0|129791|384|2911|23|9890|143021|t
57|0|81795|770|2679|43513|7610|136408|f
70|0|80139|422|2454|14|8208|91255|t
42|0|82318|450|2552|45002|9140|139483|f
55|0|134655|355|2673|20|8174|145899|t
72|0|78351|496|2594|45941|8692|136099|f
79|0|101720|400|2529|17|7834|112526|t
63|0|81002|277|2535|34|7771|91641|t
83|0|132118|463|2926|19|15392|150955|t
54|0|132932|421|2488|16|7836|143718|t
80|0|82449|364|3385|51671|7173|145069|f
51|0|102774|372|2430|19|6860|112477|t
49|0|135074|301|3479|26|12055|150975|t
47|0|83726|329|3207|58927|8698|154908|f
57|0|83961|523|3254|51490|9423|148680|f
45|0|135589|589|2003|6|8726|146939|t
14521|0|29676|303|2799|5|7198|39999|t
5132|0|19990|437|3263|5|7820|31537|t
63|0|13292|380|2609|18|7519|23834|t
69|0|17123|491|2421|19|7539|27650|t
58|0|14252|384|2447|14|6187|23306|t
