read_header_duration|decode_duration
2216|4105
2478|2972
2505|3522
2498|7502
2367|6875
2525|2996
2599|8093
2949|3475
2632|4369
2664|5792
2451|4550
2775|4021
2883|10780
2444|176312
2750|83045
2417|110365
2587|113415
3427|162209
3646|84488
3538|171104
2217|9103
3372|4035
2311|6684
3317|3763
2491|116016
1914|209897
3887|91797
3972|180283
2520|162442
2600|89542
2349|172746
2627|172960
2305|115863
2761|203140
2990|88803
2573|11136
2167|27868
2250|9937
2900|3157
2566|2885
2357|2561
2474|2718
2425|2695
2484|2922
2836|3298
3355|4228
2227|3064
2541|2970
2557|2957
2079|2417
2893|3378
3664|4438
2406|2782
2538|3263
2285|2682
2605|6410
18910|20821
4130|4714
2408|7141
2583|3377
2579|3840
2879|9351
2404|6462
2337|4489
2306|10443
2929|3490
2566|25564
2687|10133
2806|4034
2594|4522
2278|21775
20087|23571
2589|8481
2233|4310
4032|5708
2587|25989
2730|5259
2425|3216
17673|18351
2695|3501
2781|5339
2476|38952
3149|4447
2329|12896
3688|7989
2611|5074
2632|13938
2982|13418
3389|9562
4075|14929
3948|5401
2560|10379
3358|14281
1984|33101
3209|4357
4550|195763
4189|78271
9199|71371
3809|81964
32436|110534
2884|120129
39491|121879
5699|100098
8037|104829
90778|96289
2444|119257
2666|93526
4349|104997
2744|113225
17076|103370
2573|112928
2444|113888
19416|101125
2683|136158
2752|124870
2442|90831
2666|175146
2448|290102
16773|150457
6218|180492
2558|177212
2562|244477
2725|92303
2655|250947
2070|114797
2345|195745
5909|88182
4266|113840
2785|175810
2662|114203
2627|121916
2611|117613
7227|154990
3074|152991
2779|90752
2564|166924
3356|80582
4881|85577
2993|82026
2849|120635
3607|4385
16297|16880
2448|2878
2366|2866
15291|15865
2540|4803
2779|3234
2427|2711
2683|3214
2936|3681
2717|3729
2842|110502
4543|87099
2490|86687
4284|110292
3094|81368
2390|100529
2818|123932
2360|89964
2792|3259
4477|4850
2654|3068
2391|2836
2450|2987
15363|15867
4252|5073
2359|3005
4658|5433
2386|3070
2892|3383
16306|16916
2492|3046
2940|3476
2337|3052
12316|12696
2420|3429
15656|16361
4440|114581
2619|93130
2581|109735
2631|85272
2456|113118
2406|82149
2714|121756
2291|96240
2250|90542
3079|131814
2402|98631
2405|83030
15271|118446
2742|90265
2346|136687
2271|82650
2502|2929
3985|5231
14943|15742
2771|4653
4131|9846
5650|6761
2527|4215
2283|10670
2433|3918
1951|2152
2831|3358
2271|2886
15682|16434
2259|2681
2645|3154
2146|3177
2684|11458
2665|3876
2487|4370
2385|4321
2626|7270
16857|17731
2540|5219
2184|4677
2610|12446
2817|4999
1992|138254
2785|113703
2480|142546
2656|102508
2119|149633
2618|110979
2190|147613
2506|105858
2160|177659
2308|105693
2893|159134
6134|113074
2539|150548
2119|135087
3116|153406
2509|121144
2852|149024
2599|126956
2412|164340
3469|90574
2507|172515
2811|91607
2300|137010
2677|160646
3133|115805
2504|160566
2631|122613
2038|177837
2457|127384
4203|149642
100347|108684
2615|2891
2425|2735
3426|3703
2644|2966
2606|2891
2750|3062
2581|3433
2628|3523
2918|3208
4567|5252
2440|3268
2649|3018
2490|2821
2927|3189
2221|2609
2594|3068
2749|3027
2488|2904
2933|3485
2436|2806
2477|2766
4477|5620
2241|2655
2217|2757
2414|2711
2869|3398
2645|3471
2252|2677
2727|3003
2754|3277
2723|3147
2578|2915
2553|2886
2320|2812
4220|4505
2960|3484
2279|2603
2744|3109
2270|2685
2772|3069
2665|3578
2260|2626
32497|32878
2538|3511
3565|4236
17108|17715
2548|3081
2281|2737
2544|2944
3758|4258
2477|3094
2138|2766
15277|16582
3568|5028
2370|4589
2464|4803
2315|5479
2303|5824
4390|5634
15265|16752
2257|5204
2297|5224
2410|3145
3022|14205
3771|166376
2768|103174
2348|107383
2555|168523
2825|95005
2480|109410
3645|4090
2424|2993
4195|4858
3792|5423
2423|3144
2410|3184
2574|3452
2721|3336
2274|3257
2729|10280
3236|7672
2742|9560
4659|9339
2567|10420
15486|27280
2667|8237
2837|10363
2560|112854
2205|155476
2700|158792
2600|122664
2136|151147
2588|159503
4775|158697
14370|138000
2794|151235
2536|122809
2388|161499
4137|123021
2415|163580
2699|157704
2506|152689
2612|262818
2644|92784
2280|124953
42921|158546
2576|86281
37615|118973
40262|165002
3426|86533
2275|124121
21240|159067
2765|108747
3162|111084
2577|87405
4166|9810
15182|25052
2374|6138
2518|13772
2682|8679
2539|6788
3588|8118
15437|96252
3940|107874
2731|106226
14591|94899
4626|106981
2362|107395
2854|84726
2304|111058
2691|84586
2429|109659
3356|85107
2572|112706
2382|85437
2337|110990
2643|85399
2360|112337
3787|87279
2573|115322
3622|111947
3817|95416
2501|109727
2219|124590
3081|148225
2449|119526
2161|149802
2541|118376
2539|90256
2747|149261
3735|148800
2846|151301
2558|92706
15059|137498
2590|149166
2466|90887
4057|119775
2426|147084
3001|138494
12163|200801
7244|100086
104437|106439
3748|110116
2320|109688
2489|2968
2603|2937
2387|2859
2167|2556
2730|3073
2604|3135
13771|14209
2651|3046
7017|8216
14141|14593
2534|107608
14580|97483
2428|108590
2680|83147
2375|110182
2428|108060
2669|84913
2071|108285
2267|85081
2208|109475
3757|84954
2703|91710
2470|110695
3911|85209
2589|112339
2434|85432
4680|84497
3401|108140
2547|109307
2618|108484
2238|110114
3699|90397
3864|6202
3656|98413
18361|102379
2229|110115
2297|111013
14451|98643
9597|101378
4802|99913
2661|88373
5590|96689
5292|100183
4523|117248
2613|135165
3057|62781
4199|99803
6457|98288
19780|24922
3688|9024
2515|14747
2278|2452
2990|5305
2795|93604
2837|6953
2596|10904
2757|7499
2162|8817
2464|9156
3707|81544
3642|107702
2429|83029
2232|106549
2298|104737
3159|107593
2518|106477
16185|96713
3953|106598
2963|79713
3743|108096
2383|106946
2782|109064
2390|107245
3372|107120
2791|107082
2057|108193
2530|106777
2698|80438
2755|106393
2520|108696
3015|107180
2808|80525
4922|106942
15326|96015
2600|80196
2673|82227
3605|4599
2368|2596
2722|3140
2921|3243
2660|2894
2278|2488
2558|2820
2023|2434
2596|2822
2545|2811
3490|4113
2238|2551
3347|3853
2515|3026
2634|3009
2695|3021
2345|2683
2324|2630
2653|2952
