read_header_duration|read_duration|decode_duration|cache_read_duration|randao_lock_2_duration|simulation_duration|redis_update_duration|submission_duration|optimistic_submission
62|110991|1050|309|2524|16|7354|122264|t
45|83496|1157|465|2638|22|8242|96051|t
40|109552|1061|302|2590|21|47960|161508|t
57|113885|673|494|2689|17|7293|125077|t
67|90853|705|324|2534|26|8158|102627|t
47|108073|1245|365|2528|13|8089|120339|t
42|84002|949|354|2551|16|7540|95434|t
78|108257|1135|342|2762|14|8289|120825|t
93|89488|1045|352|2477|24|8075|101511|t
61|115007|890|354|2667|14|8554|127510|t
57|84944|1262|496|2759|27|7465|96973|t
48|113166|1227|305|2769|14|7912|125413|t
1479|90886|891|448|2596|64046|8243|167158|f
115|84899|1382|411|2675|51648|8903|149939|f
77|84979|1268|373|2613|54285|8465|152006|f
47|116461|1407|225|4160|8|68790|191068|t
146|85773|1335|417|2593|103891|10641|204673|f
56|93903|1342|352|75644|101588|8726|281573|f
38|85287|1378|377|2889|110740|8828|209519|f
57|84642|1434|298|17915|80285|8987|193582|f
38|114193|1428|374|2709|6|9545|128275|t
65|85994|1255|933|8350|85931|9115|191600|f
47|113024|1368|418|2277|14|11533|128654|t
62|87304|1715|389|3615|95075|12096|200218|f
118|103809|1846|531|5125|28|38436|149817|t
61|93094|1319|272|2198|11|8644|105561|t
63|100766|1527|423|2232|83484|9924|198387|f
52|90063|1649|493|2798|85601|9452|190100|f
103|113283|1347|368|3331|22|8259|126649|t
48|102732|1363|390|2609|86078|9319|202513|f
38|89266|1328|330|3398|85940|9491|189787|f
57|91051|1468|354|3582|88637|9126|194243|f
58|86565|2379|431|4612|97434|13893|205373|f
101|122663|1908|399|2809|16|9365|137312|t
44|87425|1263|403|2932|96909|8874|197832|f
57|91155|1703|381|2521|113126|9595|218502|f
73|83747|1278|440|2802|100494|9443|198226|f
568|7989|748|410|2494|14|7247|18921|t
87|11091|761|421|2831|30|6711|21872|t
88|106327|1988|333|2340|17|11244|122269|t
79|83560|2304|373|2883|146940|10932|247033|f
59|61793|2262|338|2499|77824|10631|155376|f
60|84158|2253|439|2766|83031|11639|184318|f
10727|25259|741|264|2401|10|8122|36815|t
51|8931|758|400|2533|10|6779|19438|t
110|13909|740|365|2379|14|6038|23469|t
53|6392|589|363|2647|18|6257|16289|t
69|105570|953|373|3275|16|7543|117754|t
63|80425|652|379|2320|15|8129|91948|t
60|104968|1065|3605|3057|19|7968|120706|t
55|91217|1236|413|2400|28|8133|103452|t
73|110088|1244|491|2569|16|8210|122664|t
56|88574|1224|385|2702|20|8441|101370|t
67|110676|943|499|2748|19|8628|123536|t
41|93833|1526|407|2494|26|8177|106482|t
83|117923|1278|327|2587|18|19516|141674|t
47|122795|1514|403|2686|20|10925|138369|t
59|94965|1852|484|43685|16|11555|152584|t
61|124012|1482|381|2672|20|8989|137578|t
67|91100|1897|357|2509|20|56511|152419|t
42|128726|2247|499|3727|13|15114|150390|t
73|92177|1818|369|35342|36|10614|140378|t
51|125393|1881|433|2506|19|9255|139511|t
53|98984|1994|357|42447|28|9542|153375|t
64|120023|1936|416|2501|15|8596|133510|t
38|104145|1376|411|2325|15|8502|116804|t
56|120222|1474|453|2569|20|9737|134500|t
54|91189|1952|433|2473|17|9413|105504|t
46|131069|1940|388|2468|14|9125|145028|t
63|96080|1968|391|2449|17|9275|110205|t
149|136725|1921|377|2539|7|9517|151110|t
50|93349|1492|462|2289|12|8897|106525|t
42|125921|1342|375|2602|14|8536|138819|t
52|101602|2096|405|3191|22|10737|118077|t
59|128509|1470|401|3032|23|178306|311767|t
61|101426|2174|425|3242|12|96513|203831|t
94|127093|2136|399|2662|18|9731|142064|t
91|130017|2267|478|3236|22|10849|146896|t
65|125079|1878|370|2368|12|9950|139679|t
44|105207|1554|299|2840|13|26779|136715|t
54|123749|2195|366|3386|12|11326|141056|t
106|87831|2284|432|2513|79996|79572|252649|f
38|105341|3367|355|2954|15|79274|191339|t
73|100173|2329|450|2759|82622|16229|204598|f
77|81671|3264|344|4288|82330|13473|185396|f
76|136511|5687|246|2896|18|52272|197655|t
58|10745|477|234|2797|9|5372|19653|t
54|5645|511|456|2559|16|5917|15123|t
53|112288|2659|458|3618|18|11504|130572|t
45|130817|2159|305|48779|10|14423|196513|t
77|112580|2463|389|3732|91976|11639|222799|f
56|90544|1551|338|2480|81745|10369|187077|f
52|82276|2200|360|2525|81974|10219|179580|f
152|103990|1653|334|2341|26|9451|117824|t
52|145316|2215|391|2588|14|32163|182713|t
63|109704|2415|261|4155|81511|15741|213808|f
57|77391|2243|341|2501|84372|11278|178152|f
81|591|333|329|2066|16|5278|8632|t
12551|13429|267|373|2267|8|4354|20717|t
92|1142|333|371|2940|29|5928|10776|t
61|515|332|340|2396|21|4542|8164|t
12763|14523|343|377|2546|21|5049|22881|t
159|1112|317|428|2673|18|5459|10037|t
52|741|320|481|2281|10|4416|8268|t
47|11288|294|359|2410|17|5144|19565|t
50|1496|377|346|2495|14|4327|9090|t
64|1006|367|474|2730|9|4630|9245|t
52|11799|404|375|2637|16|4856|20108|t
69|4107|419|359|3519|30|6163|14620|t
74|4640|649|436|3322|15|5488|14582|t
61|10773|363|334|2553|18|4822|18882|t
48|3126|346|399|3248|8|5744|12899|t
50|4155|561|421|2540|19|4873|12590|t
84|80865|941|287|2580|15|7135|91844|t
54|107100|766|453|2283|13|7889|118528|t
37|10348|404|368|2430|8|6088|19665|t
46|3576|519|343|2943|7|5771|13182|t
46|4786|399|385|2636|13|5657|13902|t
59|9802|518|364|2455|21|7486|20668|t
65|4526|692|443|4754|14|7423|17896|t
43|12472|561|372|2629|12|7005|23068|t
2777|87533|812|601|2272|14|7566|98824|t
52|106039|757|485|2521|27|7000|116856|t
51|80170|786|476|3213|18|7354|92039|t
53|104839|792|384|2552|15|6347|114954|t
58|107276|747|416|2487|8|7043|117997|t
59|85200|876|424|2793|51|8279|97646|t
66|107154|721|367|3018|16|7032|118370|t
60|85163|643|540|2577|18|7784|96746|t
53|106735|897|474|2294|13|6357|116793|t
39|81971|889|378|2518|16|7218|93011|t
46|106332|871|360|2656|29|7204|117478|t
181|83717|920|417|2507|14|7693|95288|t
55|109112|970|390|2272|22|7303|120090|t
40|109571|822|434|2542|16|6291|119697|t
90|78991|1068|422|2090|51653|32507|166759|f
57|101754|1311|2084|3592|8|98610|207379|t
65|1939|1224|1246|3952|91144|17984|117515|f
65|101864|1274|3008|3602|90752|11975|212499|f
70|104397|2109|576|3616|10|102631|213367|t
49|214305|2475|357|3190|8|101598|321953|t
59|2953|2068|458|3082|90727|11343|110665|f
80|86372|653|409|2640|12|7926|98035|t
69|105542|988|393|3043|33|9453|119486|t
39|86463|1037|402|2381|15|7909|98235|t
76|111532|987|394|2550|15|6750|122247|t
64|82992|713|389|2258|19|6510|92900|t
109|106714|722|428|3203|13|7815|118924|t
68|88318|994|557|2861|13|8744|101515|t
51|108602|1015|364|2527|15|6149|118697|t
66|82444|1080|294|12491|52187|7167|155695|f
62|80099|1018|560|2605|51179|8077|143572|f
103|107029|977|416|2929|14|8258|119647|t
41|83143|996|441|2752|22|28641|116012|t
46|83819|944|344|2263|52457|7089|146935|f
41|82412|977|515|2526|49851|6578|142880|f
56|81706|792|384|2482|55905|6547|147833|f
68|110745|1006|423|2897|22|31713|146827|t
92|129643|1048|274|3725|93003|10219|237939|f
97|96949|1271|406|3664|9|96219|198550|t
71|13335|86849|1772|2891|95178|9657|209728|f
98|101140|3181|705|3125|92720|112364|313259|f
64|97777|1340|355|3561|5|99888|202943|t
88|1765|1291|349|2628|64726|8790|79572|f
45|81021|1055|434|2231|62944|7502|155216|f
42|81697|934|374|2696|62919|8429|157070|f
46|114466|1295|337|2236|13|8880|127247|t
99|219433|1542|1729|2517|15|7274|232547|t
86|120332|1518|331|2447|15|16916|141587|t
82|302375|1574|400|3063|10|96478|403948|t
62|164624|2099|252|2901|8|27819|197747|t
40|129416|2630|1154|3520|15|29190|165944|t
53|133982|1316|376|2535|14|10266|148509|t
67|159634|2034|485|2720|8|8355|173255|t
66|149814|1892|367|3171|8|8813|164086|t
71|126557|1823|337|2890|6|26169|157806|t
56|162750|2462|437|2511|14|10042|178240|t
54|129961|2018|313|16663|18|9327|158321|t
55|105844|1360|384|3282|9|95062|205974|t
61|136106|2196|427|4736|32|13731|157254|t
129|242020|2331|424|5169|18|10455|260455|t
58|127991|1634|376|2537|16|7802|140376|t
70|158158|1195|398|2757|9|7550|170089|t
60|135400|1194|394|2691|16|7364|147081|t
59|158807|1595|341|2535|18|8439|171758|t
39|125901|1731|390|2552|16|9099|139713|t
74|269912|1718|417|2387|11|8649|283114|t
89|125693|1605|358|2272|26|7871|137904|t
74|153449|1671|379|3215|16|8738|167488|t
54|152468|1759|389|3201|8|8034|165879|t
90|152356|1556|432|2243|13|8086|164708|t
28344|200892|1698|373|2551|15|7834|213384|t
57|144541|1713|338|2340|11|8318|157287|t
70|240517|1580|357|2694|15|8899|254086|t
51|125335|1754|411|2536|23|8998|139075|t
57|157189|1696|418|2954|15|8847|171167|t
55|125376|1844|388|2544|16|33986|164175|t
59|158588|1303|353|2617|11|34908|197797|t
